480,-6966.3730673511,480,0.000284,475,3.78238619305193E-05,475,0.000002,80,-6966.3563274445,80,0.000298,85,0.3022991549,85,0.000007
470,-6966.3730685331,470,0.000286,465,0.000327081,465,0.000001,90,-6966.3657742931,90,0.000291,95,0.1184913442,95,0.000005
460,-6966.3730583119,460,0.000287,455,0.0005295338,455,0.000004,100,-6966.3694771476,100,0.000286,105,0.0681600574,105,0.000002
450,-6966.3730417639,450,0.000283,445,0.0004956556,445,0.000002,110,-6966.3716071494,110,0.000284,115,0.046726457,115,0
440,-6966.3730262747,440,0.000285,435,0.0001323834,435,0.000001,120,-6966.3730673511,120,0.000284,125,0.0493417444,125,0.000003
430,-6966.3730221377,430,0.000286,425,0.0048190022,425,0,130,-6966.3746092806,130,0.000287,135,0.0479305613,135,0.000004
420,-6966.3728715439,420,0.000286,415,0.0023037168,415,0.000001,140,-6966.3761071107,140,0.000283,145,0.0306032966,145,0.000002
410,-6966.372943535,410,0.000287,405,0.0037380295,405,0.000004,150,-6966.3770634637,150,0.000285,155,0.0096121536,155,0.000004
400,-6966.3730603485,400,0.000283,395,0.0051279876,395,0.000001,160,-6966.3773638435,160,0.000289,,,,
390,-6966.3732205981,390,0.000284,385,0.0068346864,385,0.000005,,,,,,,,
380,-6966.373434182,380,0.000289,370,0.0195860826,370,0.000006,,,,,,,,
360,-6966.3740462471,360,0.000283,350,0.0103003298,350,0.000003,,,,,,,,
340,-6966.3743681324,340,0.00028,330,0.0099597792,330,0.000003,,,,,,,,
320,-6966.3740568893,320,0.000283,310,0.0137394421,310,0.000002,,,,,,,,
300,-6966.3736275317,300,0.000285,295,0.0086498225,295,0,,,,,,,,
290,-6966.3738978387,290,0.000285,285,0.0464782891,285,0.001435,,,,,,,,
280,-6966.3753502852,280,0.00172,,,,,,,,,,,,
