360,-5873.0823495959,360,0.000035,355,9.56905751081649E-05,355,0,60,-5873.0490458403,60,0.000055,65,0.0219380997,65,0.000016
350,-5873.0824452865,350,0.000035,345,0.0001163457,345,0.000005,70,-5873.07098394,70,0.000039,75,0.0088954309,75,0.000003
340,-5873.0825616322,340,0.00004,335,8.46954708322301E-05,335,0.000005,80,-5873.0798793709,80,0.000036,85,0.002470225,85,0.000001
330,-5873.0826463277,330,0.000035,325,9.87178427749313E-05,325,0,90,-5873.0823495959,90,0.000035,95,0.0012443729,95,0.000004
320,-5873.0827450455,320,0.000035,315,0.000079976,315,0.000286,100,-5873.0835939688,100,0.000039,105,0.0016354644,105,0.000004
310,-5873.0828250215,310,0.000321,305,4.45459063485032E-05,305,0.000286,110,-5873.0852294332,110,0.000035,115,0.0016033635,115,0.000002
300,-5873.0828695674,300,0.000035,295,5.29644321431988E-05,295,0.000001,120,-5873.0868327967,120,0.000037,125,0.0009923103,125,0.000002
290,-5873.082816603,290,0.000036,285,8.51248996696086E-05,285,0.000002,130,-5873.0878251071,130,0.000039,135,0.0003054437,135,0.000001
280,-5873.0827314781,280,0.000034,275,0.0001126934,275,0.000657,140,-5873.0881305507,140,0.00004,145,8.27821686470998E-05,145,0.000005
270,-5873.0826187847,270,0.000691,265,4.23477376898518E-06,265,0.000015,150,-5873.0882133329,150,0.000035,155,0.0002287245,155,0.000005
260,-5873.0826145499,260,0.000676,255,0.0001971848,255,0.000053,160,-5873.0884420574,160,0.00004,165,0.0003869546,165,0.000003
250,-5873.0828117347,250,0.000729,245,0.0003618903,245,0.000691,170,-5873.088829012,170,0.000037,,,,
240,-5873.083173625,240,0.000038,,,,,,,,,,,,
